,address,checkins,city,country,created,icon,latitude,longitude,pid,title,type,updated,data_time
98,Дубининская 69,2,1,1,1280741941,https://vk.com/images/places/clubs.png,55.714921,37.634502,99,Serebro,4,1460235700.0,2010-08-02 13:39:01
100,Хорошевское ш. 39,10,1,1,1280741941,https://vk.com/images/places/clubs.png,55.777282,37.513682,101,Закрома Родины,4,1486991368.0,2010-08-02 13:39:01
101,Волгоградский пр. 6К1,2,1,1,1280741941,https://vk.com/images/places/clubs.png,55.819257,37.564918,102,Shambor,4,1429364458.0,2010-08-02 13:39:01
104,Тимирязевская 11,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.598843,37.516171,105,Dark Woods,4,1280943098.0,2010-08-02 13:39:01
105,Бутырский Вал 5,17,1,1,1280741941,https://vk.com/images/places/clubs.png,55.779474,37.58526,106,Жара,4,1367524324.0,2010-08-02 13:39:01
110,М.Дмитровка 23К15,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.770578,37.604915,111,Синяя птица,4,1439145999.0,2010-08-02 13:39:01
112,Кадашевская наб. 6К1,29,1,1,1280741941,https://vk.com/images/places/clubs.png,55.742833,37.617186,113,Третьяков,4,1399641889.0,2010-08-02 13:39:01
115,М.Сухаревская пл. К38,5,1,1,1280741941,https://vk.com/images/places/clubs.png,55.785017,37.53287,116,Арсенал,4,1431089197.0,2010-08-02 13:39:01
116,Мясницкая 13,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.762449,37.632395,117,Вос-дух,4,1354178187.0,2010-08-02 13:39:01
124,Сергея Макеева 9,191,1,1,1280741941,https://vk.com/images/places/clubs.png,55.761629,37.550837,125,Milk,4,1459975519.0,2010-08-02 13:39:01
125,Рогожский Вал 6К2,3,1,1,1280741941,https://vk.com/images/places/clubs.png,55.742767,37.674526,126,Platina,4,1369337619.0,2010-08-02 13:39:01
129,Лубянский пр. 15К2,2,1,1,1280741941,https://vk.com/images/places/clubs.png,55.756619,37.632489,130,Ля Мур,4,1485939118.0,2010-08-02 13:39:01
133,Страстной б-р 8а,8,1,1,1280741941,https://vk.com/images/places/clubs.png,55.766258,37.610867,134,Babуlon Private Club,4,1389480417.0,2010-08-02 13:39:01
134,Летниковская 11К10,124,1,1,1280741941,https://vk.com/images/places/clubs.png,55.724545,37.646372,135,Форум холл,4,1479193606.0,2010-08-02 13:39:01
135,Малышева 3К2,13,1,1,1280741941,https://vk.com/images/places/clubs.png,55.701957,37.742735,136,От заката до рассвета,4,1489094464.0,2010-08-02 13:39:01
136,Комсомольский просп. 28,1,1,1,1280741941,https://vk.com/images/places/clubs.png,55.727019,37.579681,137,Maska,4,1353173698.0,2010-08-02 13:39:01
141,пл. Киевского Вокзала 2,64,1,1,1280741941,https://vk.com/images/places/clubs.png,55.74449,37.566302,142,Face,4,1479829094.0,2010-08-02 13:39:01
143,Кузнецкий мост 3,3,1,1,1280741941,https://vk.com/images/places/clubs.png,55.761224,37.616575,144,Shelter,4,1458486877.0,2010-08-02 13:39:01
144,Школьная 21,3,1,1,1280741941,https://vk.com/images/places/clubs.png,55.745808,37.672109,145,Old Street,4,1415890476.0,2010-08-02 13:39:01
145,Усиевича 12К14,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.806267,37.528285,146,Manhattan,4,1421991528.0,2010-08-02 13:39:01
154,Декабристов пл. 10,12,1,1,1280741941,https://vk.com/images/places/clubs.png,55.764085,37.487335,155,Бульвар,4,1488609928.0,2010-08-02 13:39:01
158,Ленинградский просп. 31,768,1,1,1280741941,https://vk.com/images/places/clubs.png,55.785994,37.559056,159,Arena Moscow,4,1484762691.0,2010-08-02 13:39:01
159,выборгская 14,3,1,1,1280741941,https://vk.com/images/places/clubs.png,55.752242,37.633167,160,Лед,4,1354388918.0,2010-08-02 13:39:01
161,Забелина 1,3,1,1,1280741941,https://vk.com/images/places/clubs.png,55.754466,37.637367,162,Подвал на Солянке,4,1456810987.0,2010-08-02 13:39:01
162,Петрозаводская 22,0,1,1,1280741941,https://vk.com/images/places/clubs.png,55.77716,37.565003,163,Times,4,1351286838.0,2010-08-02 13:39:01
176,Страстной б-р 4К3,1,1,1,1280741941,https://vk.com/images/places/clubs.png,55.764987,37.608472,177,Пурга,4,1282085350.0,2010-08-02 13:39:01
183,Болотная наб. 9а,8,1,1,1280741941,https://vk.com/images/places/clubs.png,55.740841,37.611212,184,Элизиум,4,1385848680.0,2010-08-02 13:39:01
189,Енисейская 5К2,4,1,1,1280741941,https://vk.com/images/places/clubs.png,55.858902,37.659578,190,Sharhouse,4,1420375617.0,2010-08-02 13:39:01
